NEMOTECNICO,RAZON_SOCIAL,INDUSTRIA
SQM-B,SOC QUÍMICA MINERA DE CHILE S.A. SERIE B,Minería
CHILE,BANCO DE CHILE,Bancaria y Financiera
BSANTANDER,BANCO SANTANDER CHILE,Bancaria y Financiera
COPEC,EMPRESAS COPEC S.A.,Energía
ENELAM,ENEL AMERICAS S.A.,Servicios
CENCOSUD,CENCOSUD S.A.,Retail
CMPC,EMPRESAS CMPC S.A.,Materiales
BCI,BANCO DE CRÉDITO E INVERSIONES,Bancaria y Financiera
FALABELLA,SACI FALABELLA,Retail
ENELCHILE,ENEL CHILE S.A.,Servicios
PARAUCO,PARQUE ARAUCO S.A.,Inmobiliario
COLBUN,COLBUN S.A.,Energía
CCU,COMPAÑÍA CERVECERA UNIDAS S.A.,Bebestibles
ANDINA-B,EMBOTELLADORA ANDINA S.A. SERIE B,Embotelladora
VAPORES,COMPAÑÍA SUDAMERICANA DE VAPORES S.A.,Naviera
AGUAS-A,AGUAS ANDINAS S.A. SERIE A,Sanitaria/Agua
QUINENCO,QUINENCO S.A.,Holding
LTM,LATAM AIRLINES GROUP S.A.,Aéreo
CONCHATORO,VIÑA CONCHA Y TORO S.A.,Vitivinícola
ENTEL,EMP. NACIONAL DE TELECOMUNICACIONES S.A.,Telecomunicaciones
CAP,CAP S.A.,Minero-Siderúrgico
MALLPLAZA,PLAZA S.A.,Retail
ECL,ENGIE ENERGIA CHILE S.A.,Energía
IAM,INVERSIONES AGUAS METROPOLITANAS S.A.,Sanitaria/Agua
SMU,SMU S.A.,Retail
SONDA,SONDA S.A.,Tecnología
RIPLEY,RIPLEY CORP S.A.,Retail